transcript_id,ENCLB117FKX,ENCLB129EAK,ENCLB597ZOR,ENCLB925FOQ
FBtr0475186,12,5,1290,1300
FBsf0000917342,1,0,1,0
FBsf0000915518,1,0,1,0
FBtr0078166,0,0,0,0
FBtr0078167,0,0,0,0
FBtr0078169,0,0,0,0
FBtr0306589,0,0,0,0
FBtr0306590,0,0,0,0
FBtr0330655,0,0,0,0
FBsf0000919114,0,0,0,0
FBtr0306591,1957,996,0,0
FBtr0078170,1413,1189,0,0
FBtr0078168,18,0,0,0
FBtr0306592,2,0,91,99
FBtr0078171,2,0,0,3
FBsf0000919113,1,1,1,1
FBsf0000763307,1,1,1,1
FBtr0078163,0,0,0,0
FBtr0113416,0,0,0,0
FBtr0309225,0,0,30,0
FBtr0309227,0,0,0,0
FBtr0309229,0,0,15,0
FBtr0309226,0,0,0,0
FBsf0000917373,0,0,0,0
FBtr0347585,0,3,0,13
FBtr0309228,48,32,95,63
FBtr0078164,29,20,0,21
FBtr0345733,0,0,0,0
FBtr0306538,0,0,0,0
FBtr0306537,0,0,0,0
FBtr0344053,0,0,0,0
FBtr0331680,0,0,0,0
FBsf0000915541,0,0,0,0
FBtr0290323,0,0,121,51
FBtr0330637,0,0,66,0
FBsf0000919238,0,0,0,0
FBsf0000918021,0,0,0,0
FBsf0000587308,0,0,0,0
FBsf0000587307,0,0,0,0
FBtr0089436,0,3,0,0
FBsf0000915738,0,0,0,0
FBtr0100307,0,0,0,0
FBtr0078157,0,0,0,0
FBtr0100308,0,0,0,0
FBtr0100309,0,3,0,0
FBtr0330646,0,0,0,0
FBtr0078158,0,2,0,0
FBtr0078156,0,0,0,0
FBtr0100310,0,0,0,0
FBsf0000916936,0,0,0,0
FBsf0000770465,0,0,0,0
FBsf0000770466,0,0,0,0
FBtr0078154,0,0,0,730
FBtr0078153,0,0,0,0
FBtr0344032,0,2,182,50
FBsf0000589188,0,0,0,0
FBsf0000589187,0,0,0,0
FBsf0000763577,0,0,0,0
FBsf0000763578,0,0,0,0
FBtr0336836,0,0,0,0
FBtr0336837,0,0,0,0
FBtr0346127,0,0,0,0
FBtr0302194,0,0,0,0
FBtr0302196,0,0,0,18
FBsf0000919277,0,0,0,0
FBtr0302195,0,0,0,0
FBsf0000916389,0,0,0,0
FBtr0330644,0,0,0,0
FBtr0300987,0,0,22,0
FBsf0000916388,0,0,0,0
FBtr0330643,0,0,0,0
FBsf0000916614,0,1,1,0
FBtr0330642,0,0,293,329
FBtr0301886,0,0,0,0
FBtr0330640,0,0,2,0
FBsf0000916567,0,0,0,0
FBsf0000762578,0,0,0,0
FBtr0078122,0,0,0,0
FBtr0306341,0,0,0,0
FBtr0330652,0,277,379,239
FBtr0332336,0,0,118,0
FBsf0000769693,0,0,0,0
FBsf0000919987,0,0,0,0
FBsf0000769694,0,0,0,0
FBsf0000919423,0,0,0,0
FBtr0078146,0,0,0,0
FBsf0000918591,0,0,0,0
FBtr0308254,0,0,0,0
FBtr0336984,0,0,13,21
FBtr0336985,0,5,18,2
FBtr0336986,0,0,52,141
FBtr0309764,0,0,0,0
FBtr0078126,0,0,734,642
FBsf0000764380,0,0,0,0
FBtr0304343,0,0,0,0
FBtr0304344,0,0,0,0
FBtr0472777,0,0,0,0
FBsf0000918371,0,0,0,0
FBtr0336989,0,0,87,208
FBsf0000916607,0,0,0,0
FBsf0000765399,0,0,0,0
FBsf0000764381,0,0,0,0
FBsf0000765398,0,0,0,0
FBtr0336988,0,0,109,182
FBsf0000916012,0,0,1,0
FBsf0000765293_1,0,0,1,0
FBsf0000765293_2,0,0,1,0
FBsf0000765292_1,0,0,0,0
FBsf0000765292_2,0,0,0,0
FBsf0000916450,0,0,1,1
